,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_ar,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,95,69.25,76,53,50.18,46,50.06,32.5,26.24,78.8,68.69375,,,,,,,,,
qwen2.5-7b-instruct,131072,94,85,58,23.75,48,31.53,40,37.02,35,20.21,57.2,55.11875,,,,,,,,,
Internlm2.5-7B-chat,131072,92,79,76.75,4.25,27,25.16,28,22.54,14.5,11.16,5,40.8125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,99,90.75,73.25,73,48.13,65,45.1,60.5,36.53,98,82.4375,,,,,,,,,
Llama-3.1-70B-Instruct,131072,96,76,85.75,35.25,27,27.92,24,26.31,23.5,18.68,83.6,56.3875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,66,48,45.5,19.5,15,14.88,12,16.07,13,7.72,79.6,37.325,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,97,98.75,75,64,61.64,61,63.65,51,45.96,100,80.84375,,,,,,,,,
DeepSeek-V3,131072,100,95,99.5,92,66,53.99,68,56.16,56.5,52.15,99,84.5,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,92,97.25,91,66,58.99,59,54.78,56.5,38.28,98.2,82.49375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_ko,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,71,59.25,76.75,55,46.11,51,41.96,44.5,27.24,51.6,63.3875,,,,,,,,,
qwen2.5-7b-instruct,131072,95,68,53.5,15.75,41,21.84,45,27.61,38.5,8.52,62.8,52.44375,,,,,,,,,
Internlm2.5-7B-chat,131072,30,19,66.5,0,35,16.74,47,19,23,12.86,33.6,31.7625,,,,,,,,,
qwen2.5-32b-instruct,131072,100,88,90.25,72.25,73,37.88,74,37.04,61.5,22.1,98.6,82.2,,,,,,,,,
Llama-3.1-70B-Instruct,131072,96,57,73,18,36,25.57,28,24.65,27,10.88,79,51.75,,,,,,,,,
Llama-3.3-70B-Instruct,131072,84,46,66.25,12.75,32,21.37,26,17.75,23,6.55,57.2,43.4,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,98,86,95.5,74.75,78,57.88,69,50.4,60,40.6,100,82.65625,,,,,,,,,
DeepSeek-V3,131072,100,94,98,95.25,73,52.09,78,53.5,67.5,48.54,99.8,88.19375,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,50,91.5,78,66,43.6,63,40.92,65.5,24.98,94,76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
